Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	91.018	-44.174	
0.033	90.776	-44.174	
0.066	90.533	-44.902	
0.100	90.048	-45.873	
0.133	90.048	-46.844	
0.166	89.562	-48.300	
0.200	89.319	-49.271	
0.233	89.077	-50.242	
0.266	88.591	-51.455	
0.300	88.106	-52.183	
0.333	87.863	-52.669	
0.366	87.620	-52.669	
0.400	86.892	-52.426	
0.433	86.892	-51.941	
0.466	86.892	-51.941	
0.500	86.650	-50.242	
0.533	86.407	-49.028	
0.566	86.407	-47.815	
0.600	86.650	-46.601	
0.633	86.650	-45.387	
0.666	86.892	-44.659	
0.700	87.378	-43.931	
0.733	87.620	-43.688	
0.766	87.863	-43.931	
0.800	88.106	-44.659	
0.833	88.591	-45.630	
0.866	88.591	-46.844	
0.900	89.077	-47.815	
0.933	89.562	-49.271	
0.966	89.562	-50.242	
1.000	89.805	-51.455	
1.033	90.048	-52.183	
1.066	89.805	-52.669	
1.100	90.048	-53.154	
1.133	90.048	-52.669	
1.166	89.562	-52.183	
1.200	89.562	-51.698	
1.233	89.077	-50.727	
1.266	89.077	-49.271	
1.300	88.591	-48.300	
1.333	88.106	-46.844	
1.366	88.106	-45.873	
1.400	87.620	-44.902	
1.433	87.378	-44.174	
1.466	86.892	-43.688	
1.500	86.650	-43.688	
1.533	86.407	-44.174	
1.566	86.407	-44.902	
1.600	86.407	-45.873	
1.633	86.407	-47.086	
1.666	86.407	-48.300	
1.700	86.407	-49.514	
1.733	86.650	-50.727	
1.766	86.892	-51.698	
1.800	87.378	-52.183	
1.833	87.620	-52.669	
1.866	87.863	-52.669	
1.900	88.106	-52.426	
1.933	88.591	-51.941	
1.966	89.077	-50.970	
2.000	89.562	-49.999	
2.033	89.805	-48.785	
2.066	90.048	-47.815	
2.100	90.048	-46.358	
2.133	90.048	-45.387	
2.166	90.048	-44.902	
2.200	90.048	-44.417	
2.233	90.048	-44.174	
2.266	90.048	-44.417	
2.300	90.048	-44.902	
2.333	89.562	-45.873	
2.366	89.319	-46.844	
2.400	89.077	-48.057	
2.433	88.834	-49.028	
2.466	88.349	-50.484	
2.500	87.863	-51.455	
2.533	87.863	-51.941	
2.566	87.378	-52.426	
2.600	86.892	-52.669	
2.633	86.892	-52.426	
2.666	86.407	-51.941	
2.700	86.407	-51.455	
2.733	86.407	-50.484	
2.766	86.407	-49.271	
2.800	86.650	-48.057	
2.833	86.892	-46.601	
2.866	86.892	-45.630	
2.900	87.378	-44.902	
2.933	87.620	-44.174	
2.966	88.106	-43.931	
3.000	88.591	-44.174	
3.033	88.591	-44.659	
3.066	89.077	-45.387	
3.100	89.077	-46.601	
3.133	89.562	-47.572	
3.166	89.805	-49.028	
3.200	90.048	-49.999	
3.233	90.048	-50.970	
3.266	90.048	-51.941	
3.300	90.048	-52.669	
3.333	90.048	-52.912	
3.366	89.562	-52.912	
3.400	89.805	-52.426	
3.433	89.319	-51.698	
3.466	89.077	-50.727	
3.500	88.834	-49.514	
3.533	88.349	-48.543	
3.566	87.863	-47.086	
3.600	87.863	-46.116	
3.633	87.378	-45.145	
3.666	87.135	-44.174	
3.700	87.135	-43.688	
3.733	86.650	-43.688	
3.766	86.650	-44.174	
3.800	86.407	-44.659	
3.833	86.407	-45.630	
3.866	86.650	-46.844	
3.900	86.892	-48.057	
3.933	86.892	-49.271	
3.966	87.378	-50.484	
4.000	87.620	-51.455	
4.033	87.863	-52.183	
4.066	88.106	-52.669	
4.100	88.834	-52.912	
4.133	89.077	-52.669	
4.166	89.319	-52.183	
4.200	89.562	-51.213	
4.233	89.805	-50.242	
4.266	90.048	-49.028	
4.300	90.290	-47.815	
4.333	90.533	-46.844	
4.366	90.533	-45.873	
4.400	90.533	-44.902	
4.433	90.533	-44.417	
4.466	90.290	-43.931	
4.500	90.048	-43.931	
4.533	89.805	-44.417	
4.566	89.562	-45.387	
4.600	89.077	-46.358	
4.633	88.834	-47.572	
4.666	88.591	-48.785	
4.700	88.106	-49.999	
4.733	87.863	-50.970	
4.766	87.620	-51.941	
4.800	87.378	-52.426	
4.833	86.892	-52.669	
4.866	86.892	-52.669	
4.900	86.892	-52.183	
4.933	86.892	-51.455	
4.966	86.892	-50.727	
5.000	87.135	-49.271	
5.033	87.135	-48.300	
5.066	87.378	-47.329	
5.100	87.620	-46.116	
5.133	87.863	-45.145	
5.166	88.106	-44.417	
5.200	88.591	-44.174	
5.233	88.834	-44.174	
5.266	89.319	-44.417	
5.300	89.562	-45.387	
5.333	89.562	-46.358	
5.366	90.048	-47.329	
5.400	90.048	-48.300	
5.433	90.048	-49.756	
5.466	90.048	-50.727	
5.500	90.048	-51.698	
5.533	90.048	-52.183	
5.566	89.562	-52.669	
5.600	89.562	-52.669	
5.633	89.077	-52.426	
5.666	89.077	-51.698	
5.700	88.591	-50.970	
5.733	88.106	-49.999	
5.766	87.863	-48.785	
5.800	87.378	-47.572	
5.833	87.135	-46.358	
5.866	86.892	-45.387	
5.900	86.650	-44.417	
5.933	86.407	-43.931	
5.966	86.164	-43.688	
6.000	86.164	-43.931	
6.033	86.164	-44.417	
6.066	86.164	-45.387	
6.100	86.650	-46.358	
6.133	86.650	-47.572	
6.166	86.892	-48.785	
6.200	87.135	-50.242	
6.233	87.620	-51.213	
6.266	87.863	-51.698	
6.300	88.349	-52.669	
6.333	88.591	-52.669	
6.366	89.077	-52.669	
6.400	89.562	-52.183	
6.433	89.562	-51.698	
6.466	89.805	-50.727	
6.500	90.048	-49.756	
6.533	90.048	-48.543	
6.566	90.048	-47.329	
6.600	90.048	-46.358	
6.633	90.048	-45.387	
6.666	89.805	-44.417	
6.700	89.805	-44.174	
6.733	89.562	-43.931	
6.766	89.077	-44.417	
6.800	88.834	-44.902	
6.833	88.591	-45.873	
6.866	88.106	-47.086	
6.900	87.863	-48.057	
6.933	87.620	-49.271	
6.966	87.378	-50.484	
7.000	86.892	-51.455	
7.033	86.892	-52.183	
7.066	86.650	-52.669	
7.100	86.650	-52.669	
7.133	86.650	-52.426	
7.166	86.892	-51.941	
7.200	86.892	-50.970	
7.233	87.135	-49.999	
7.266	87.378	-49.028	
7.300	87.620	-48.057	
7.333	87.863	-47.086	
7.366	88.106	-45.873	
7.400	88.349	-45.145	
7.433	88.591	-44.417	
7.466	89.077	-44.174	
7.500	89.319	-44.174	
7.533	89.562	-44.659	
7.566	89.805	-45.630	
7.600	90.048	-46.601	
7.633	90.048	-47.572	
7.666	90.048	-48.543	
7.700	90.048	-49.999	
7.733	89.805	-50.970	
7.766	89.805	-51.698	
7.800	89.562	-52.426	
7.833	89.319	-52.669	
7.866	88.834	-52.426	
7.900	88.349	-52.183	
7.933	88.106	-51.455	
7.966	87.863	-50.484	
8.000	87.863	-49.514	
8.033	87.378	-48.300	
8.066	86.892	-47.329	
8.100	86.892	-46.116	
8.133	86.407	-45.145	
8.166	86.407	-44.174	
8.200	86.407	-44.174	
8.233	86.407	-43.688	
8.266	86.407	-44.174	
8.300	86.650	-44.902	
8.333	86.892	-45.630	
8.366	86.892	-46.844	
8.400	87.378	-48.057	
8.433	87.863	-49.028	
8.466	88.106	-50.484	
8.500	88.349	-51.455	
8.533	88.834	-52.183	
8.566	89.077	-52.426	
8.600	89.319	-52.669	
8.633	89.562	-52.426	
8.666	89.805	-51.941	
8.700	90.048	-51.213	
8.733	90.048	-49.999	
8.766	90.048	-49.028	
8.800	90.048	-48.057	
8.833	90.048	-46.601	
8.866	89.805	-45.630	
8.900	89.805	-44.659	
8.933	89.562	-44.174	
8.966	89.319	-43.931	
9.000	88.834	-44.174	
9.033	88.349	-44.417	
9.066	88.349	-45.145	
9.100	87.863	-46.116	
9.133	87.863	-47.329	
9.166	87.378	-48.543	
9.200	87.378	-49.756	
9.233	86.892	-50.727	
9.266	86.892	-51.698	
9.300	86.892	-52.426	
9.333	86.892	-52.426	
9.366	86.892	-52.426	
9.400	87.135	-52.426	
9.433	87.378	-51.455	
9.466	87.620	-50.727	
9.500	87.863	-49.514	
9.533	88.106	-48.543	
9.566	88.349	-47.329	
9.600	88.834	-46.358	
9.633	89.077	-45.630	
9.666	89.319	-44.659	
9.700	89.562	-44.174	
9.733	89.805	-44.174	
9.766	90.048	-44.659	
9.800	90.290	-45.145	
9.833	90.290	-45.630	
9.866	90.290	-46.844	
9.900	90.290	-48.057	
9.933	90.048	-49.028	
9.966	89.805	-50.242	
10.000	89.805	-50.970	
10.033	89.319	-51.941	
10.066	89.077	-52.426	
10.100	88.591	-52.426	
10.133	88.106	-52.426	
10.166	87.863	-51.941	
