Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	85.436	-68.445	
0.033	85.436	-68.688	
0.067	85.436	-68.688	
0.100	85.193	-67.960	
0.133	85.193	-66.746	
0.167	84.951	-65.047	
0.200	84.951	-63.348	
0.233	85.193	-61.164	
0.267	85.193	-58.979	
0.300	85.193	-56.552	
0.333	85.193	-54.125	
0.367	85.193	-51.941	
0.400	85.436	-49.999	
0.433	85.436	-48.543	
0.467	85.679	-47.329	
0.500	85.679	-46.601	
0.533	85.679	-46.358	
0.567	85.679	-46.601	
0.600	86.164	-47.329	
0.633	86.164	-48.543	
0.667	86.407	-50.242	
0.700	86.164	-52.183	
0.733	86.407	-54.368	
0.767	86.650	-56.795	
0.800	86.407	-59.222	
0.833	86.407	-61.649	
0.867	86.407	-64.077	
0.900	86.164	-65.533	
0.933	86.164	-66.989	
0.967	86.407	-68.203	
1.000	86.164	-68.688	
1.033	86.164	-68.688	
1.067	85.921	-67.960	
1.100	85.921	-66.989	
1.133	85.679	-65.533	
1.167	85.679	-63.834	
1.200	85.436	-61.649	
1.233	85.193	-59.465	
1.267	85.193	-56.795	
1.300	84.951	-54.611	
1.333	84.951	-52.426	
1.367	84.951	-50.484	
1.400	84.951	-48.785	
1.433	84.951	-47.329	
1.467	84.708	-46.844	
1.500	84.708	-46.358	
1.533	84.951	-46.358	
1.567	84.951	-47.086	
1.600	84.951	-48.300	
1.633	85.193	-49.999	
1.667	84.708	-51.455	
1.700	84.708	-53.882	
1.733	87.135	-56.552	
1.767	84.708	-59.465	
1.800	87.135	-60.678	
1.833	86.164	-64.562	
1.867	86.164	-65.047	
1.900	86.164	-66.261	
1.933	86.164	-67.717	
1.967	86.650	-68.203	
2.000	86.650	-68.203	
2.033	86.650	-67.960	
2.067	86.650	-67.232	
2.100	86.650	-65.776	
2.133	86.650	-64.077	
2.167	86.650	-62.135	
2.200	86.650	-59.950	
2.233	86.407	-57.523	
2.267	86.164	-55.096	
2.300	86.164	-52.912	
2.333	86.164	-50.727	
2.367	86.164	-49.028	
2.400	85.921	-47.572	
2.433	85.921	-46.601	
2.467	85.679	-45.873	
2.500	85.679	-45.873	
2.533	85.679	-46.601	
2.567	85.679	-47.572	
2.600	85.679	-49.028	
2.633	85.679	-50.970	
2.667	85.679	-53.154	
2.700	85.679	-55.581	
2.733	85.436	-58.009	
2.767	85.436	-60.436	
2.800	85.679	-62.620	
2.833	85.679	-64.562	
2.867	85.921	-66.261	
2.900	85.921	-67.475	
2.933	86.164	-68.203	
2.967	86.164	-68.203	
3.000	86.164	-68.203	
3.033	86.164	-67.232	
3.067	86.650	-66.261	
3.100	86.650	-64.319	
3.133	86.650	-62.378	
3.167	86.650	-60.436	
3.200	86.892	-58.009	
3.233	86.892	-55.581	
3.267	87.135	-53.640	
3.300	87.135	-51.698	
3.333	87.135	-49.756	
3.367	87.135	-48.300	
3.400	86.892	-46.844	
3.433	86.892	-46.358	
3.467	86.892	-46.116	
3.500	86.892	-46.358	
3.533	86.892	-47.329	
3.567	86.892	-48.785	
3.600	86.650	-50.484	
3.633	86.407	-52.669	
3.667	86.407	-54.853	
3.700	86.164	-57.280	
3.733	86.164	-59.708	
3.767	85.921	-62.135	
3.800	85.679	-64.319	
3.833	85.679	-66.018	
3.867	85.679	-67.232	
3.900	85.679	-68.203	
3.933	85.679	-68.445	
3.967	85.679	-68.203	
4.000	85.679	-67.717	
4.033	85.436	-66.504	
4.067	85.679	-64.805	
4.100	85.679	-63.106	
4.133	85.679	-60.921	
4.167	85.679	-58.737	
4.200	85.679	-56.552	
4.233	85.921	-54.125	
4.267	85.679	-51.941	
4.300	85.921	-50.242	
4.333	86.164	-48.543	
4.367	86.164	-47.329	
4.400	86.164	-46.601	
4.433	86.164	-46.358	
4.467	86.407	-46.844	
4.500	86.407	-47.329	
4.533	86.650	-48.543	
4.567	86.650	-50.242	
4.600	86.650	-52.183	
4.633	86.407	-54.368	
4.667	86.650	-56.795	
4.700	86.407	-59.222	
4.733	86.407	-61.407	
4.767	86.407	-63.591	
4.800	86.407	-65.533	
4.833	86.164	-66.989	
4.867	85.921	-67.960	
4.900	86.164	-68.445	
4.933	85.921	-68.445	
4.967	85.679	-67.960	
5.000	85.436	-66.989	
5.033	85.436	-65.776	
5.067	85.436	-63.834	
