Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	87.620	-69.902	
0.033	88.106	-69.174	
0.067	88.106	-68.203	
0.100	88.106	-68.203	
0.133	87.620	-64.077	
0.167	87.863	-61.892	
0.200	87.620	-59.222	
0.233	87.620	-56.795	
0.267	87.620	-54.125	
0.300	87.135	-51.698	
0.333	87.135	-49.514	
0.367	86.892	-47.572	
0.400	86.650	-46.116	
0.433	86.650	-45.145	
0.467	86.164	-44.902	
0.500	85.921	-45.145	
0.533	85.679	-45.873	
0.567	85.436	-47.086	
0.600	85.436	-49.028	
0.633	85.193	-51.213	
0.667	84.951	-53.640	
0.700	84.708	-56.552	
0.733	84.708	-59.222	
0.767	84.465	-61.649	
0.800	84.465	-64.077	
0.833	84.465	-66.261	
0.867	84.465	-67.960	
0.900	84.708	-69.174	
0.933	84.951	-69.902	
0.967	84.951	-69.902	
1.000	84.951	-69.174	
1.033	85.436	-67.960	
1.067	85.679	-66.504	
1.100	85.679	-64.562	
1.133	85.921	-62.135	
1.167	86.164	-59.708	
1.200	86.407	-57.038	
1.233	86.650	-54.368	
1.267	86.892	-51.941	
1.300	86.892	-49.756	
1.333	87.135	-48.057	
1.367	87.378	-46.358	
1.400	87.378	-45.630	
1.433	87.378	-45.145	
1.467	87.378	-45.145	
1.500	87.378	-45.873	
1.533	87.378	-47.086	
1.567	87.378	-48.785	
1.600	87.135	-50.970	
1.633	86.892	-53.640	
1.667	86.650	-56.310	
1.700	86.407	-58.979	
1.733	86.164	-61.649	
1.767	85.921	-64.077	
1.800	85.679	-66.018	
1.833	85.436	-67.717	
1.867	85.436	-68.931	
1.900	84.951	-69.659	
1.933	84.951	-69.902	
1.967	84.708	-69.416	
2.000	84.708	-68.445	
2.033	84.465	-66.989	
2.067	84.465	-64.805	
2.100	84.465	-62.620	
2.133	84.465	-60.193	
2.167	84.465	-57.766	
2.200	84.708	-55.096	
2.233	84.951	-52.669	
2.267	85.193	-49.514	
2.300	85.193	-48.300	
2.333	85.436	-46.601	
2.367	85.679	-45.630	
2.400	85.679	-45.145	
2.433	86.164	-45.387	
2.467	86.164	-45.873	
2.500	86.164	-46.844	
2.533	86.650	-48.300	
2.567	86.650	-50.727	
2.600	86.650	-53.154	
2.633	86.892	-55.581	
2.667	87.135	-58.251	
2.700	87.135	-60.921	
2.733	87.135	-63.348	
2.767	86.892	-65.290	
2.800	86.892	-67.232	
2.833	86.892	-68.688	
2.867	86.650	-69.659	
2.900	86.650	-69.659	
2.933	86.407	-69.174	
2.967	86.164	-68.445	
3.000	85.679	-66.989	
3.033	85.679	-65.290	
3.067	85.679	-63.348	
3.100	85.436	-60.436	
3.133	85.193	-58.251	
3.167	85.193	-55.824	
3.200	84.951	-53.154	
3.233	84.951	-50.970	
3.267	84.708	-49.028	
3.300	84.465	-47.086	
3.333	84.708	-45.873	
3.367	84.708	-45.145	
3.400	84.708	-45.145	
3.433	84.951	-45.630	
3.467	84.951	-46.601	
3.500	84.951	-48.057	
3.533	85.436	-49.999	
3.567	85.436	-52.426	
3.600	85.679	-54.853	
3.633	85.921	-57.766	
3.667	86.164	-60.193	
3.700	86.407	-62.620	
3.733	86.650	-65.047	
3.767	86.892	-66.989	
3.800	86.892	-68.445	
3.833	87.378	-69.416	
3.867	87.378	-69.416	
3.900	87.620	-69.416	
3.933	87.620	-68.688	
3.967	87.620	-67.232	
4.000	87.620	-65.776	
4.033	87.620	-63.834	
4.067	87.620	-61.164	
4.100	87.620	-58.737	
4.133	87.378	-56.067	
4.167	87.135	-53.640	
4.200	87.135	-51.455	
4.233	86.892	-49.271	
4.267	86.650	-47.329	
4.300	86.407	-46.358	
4.333	86.164	-45.387	
4.367	85.921	-45.145	
4.400	85.679	-45.630	
4.433	85.679	-46.358	
4.467	85.436	-47.815	
4.500	85.193	-49.756	
4.533	85.193	-51.941	
4.567	85.193	-54.611	
4.600	84.951	-57.038	
4.633	84.951	-59.708	
4.667	85.193	-62.378	
4.700	85.193	-64.562	
4.733	85.193	-66.261	
4.767	85.436	-68.203	
4.800	85.679	-68.931	
4.833	85.921	-69.416	
4.867	85.679	-69.174	
4.900	86.164	-68.688	
