Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	86.407	-57.523	
0.033	86.892	-58.251	
0.066	86.892	-58.494	
0.100	87.135	-58.251	
0.133	87.378	-57.766	
0.166	87.378	-56.795	
0.200	87.378	-55.096	
0.233	87.378	-55.096	
0.266	87.135	-51.698	
0.300	87.135	-50.242	
0.333	87.135	-48.543	
0.366	87.135	-47.086	
0.400	86.892	-45.630	
0.433	86.650	-44.659	
0.466	86.407	-44.174	
0.500	86.164	-44.174	
0.533	85.921	-44.659	
0.566	85.679	-45.630	
0.600	85.679	-46.601	
0.633	85.436	-48.543	
0.666	85.193	-49.999	
0.700	85.193	-51.941	
0.733	85.193	-53.640	
0.766	84.951	-55.339	
0.800	84.951	-56.795	
0.833	84.951	-57.523	
0.866	85.193	-58.251	
0.900	85.193	-58.494	
0.933	85.436	-58.009	
0.966	85.436	-57.523	
1.000	85.921	-56.552	
1.033	85.921	-54.853	
1.066	86.164	-53.397	
1.100	86.407	-51.698	
1.133	86.650	-50.242	
1.166	86.892	-48.300	
1.200	87.135	-46.844	
1.233	87.135	-45.873	
1.266	87.378	-45.145	
1.300	87.620	-44.659	
1.333	87.620	-44.659	
1.366	87.620	-44.902	
1.400	87.620	-45.873	
1.433	87.620	-47.086	
1.466	87.620	-48.543	
1.500	87.378	-50.242	
1.533	87.135	-51.941	
1.566	86.892	-53.640	
1.600	86.650	-55.339	
1.633	86.407	-56.552	
1.666	86.407	-57.523	
1.700	86.164	-58.009	
1.733	85.679	-58.251	
1.766	85.436	-58.009	
1.800	85.193	-57.523	
1.833	85.193	-56.310	
1.866	84.951	-55.096	
1.900	84.951	-53.154	
1.933	84.951	-51.698	
1.966	84.951	-49.999	
2.000	84.951	-48.300	
2.033	84.951	-46.844	
2.066	85.193	-45.630	
2.100	85.193	-44.902	
2.133	85.436	-44.417	
2.166	85.436	-44.417	
2.200	85.679	-44.902	
2.233	85.679	-45.630	
2.266	86.164	-47.086	
2.300	86.407	-48.785	
2.333	86.650	-50.242	
2.366	86.650	-51.941	
2.400	87.135	-53.640	
2.433	87.135	-55.339	
2.466	87.135	-56.552	
2.500	87.135	-57.523	
2.533	87.378	-58.009	
2.566	87.378	-58.494	
2.600	87.378	-58.009	
2.633	87.135	-57.523	
2.666	86.892	-56.552	
2.700	86.650	-55.096	
2.733	86.650	-53.640	
2.766	86.407	-51.698	
2.800	86.164	-50.242	
2.833	85.921	-48.300	
2.866	85.679	-46.844	
2.900	85.679	-45.630	
2.933	85.436	-44.659	
2.966	85.193	-44.174	
3.000	84.951	-44.174	
3.033	84.951	-44.659	
3.066	84.951	-45.387	
3.100	84.951	-46.601	
3.133	84.951	-48.057	
3.166	84.951	-49.756	
3.200	85.193	-51.698	
3.233	85.193	-53.154	
3.266	85.193	-54.853	
3.300	85.679	-56.310	
3.333	85.679	-57.280	
3.366	85.921	-58.009	
3.400	86.164	-58.009	
3.433	86.650	-58.009	
3.466	86.650	-57.523	
3.500	86.650	-56.552	
3.533	87.135	-55.339	
3.566	87.135	-53.640	
3.600	87.378	-52.183	
3.633	87.620	-50.242	
3.666	87.620	-48.785	
3.700	87.620	-47.329	
3.733	87.620	-46.116	
3.766	87.620	-45.145	
3.800	87.135	-44.417	
3.833	87.135	-44.417	
3.866	87.135	-44.659	
3.900	86.650	-45.387	
3.933	86.650	-46.601	
3.966	86.407	-48.057	
4.000	86.164	-49.756	
4.033	85.921	-51.698	
4.066	85.921	-53.154	
4.100	85.679	-54.853	
4.133	85.436	-56.310	
4.166	85.193	-57.280	
4.200	85.193	-58.009	
4.233	85.193	-58.251	
4.266	85.193	-58.009	
4.300	85.193	-57.523	
4.333	85.193	-56.552	
4.366	85.193	-55.339	
