Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	85.921	-77.669	
0.033	85.921	-76.940	
0.066	85.921	-75.727	
0.100	85.921	-74.271	
0.133	85.921	-72.572	
0.166	85.921	-70.873	
0.200	85.921	-68.931	
0.233	85.921	-66.989	
0.266	85.921	-64.805	
0.300	86.164	-63.348	
0.333	85.679	-61.407	
0.366	85.679	-59.950	
0.400	86.164	-58.494	
0.433	86.164	-57.523	
0.466	86.164	-57.038	
0.500	86.164	-56.552	
0.533	86.164	-56.552	
0.566	86.164	-57.038	
0.600	86.164	-57.523	
0.633	86.164	-58.494	
0.666	86.164	-59.950	
0.700	86.164	-61.649	
0.733	86.164	-63.348	
0.766	86.164	-65.290	
0.800	86.164	-67.232	
0.833	86.164	-69.174	
0.866	86.164	-71.115	
0.900	86.164	-73.057	
0.933	86.164	-74.756	
0.966	85.921	-75.970	
1.000	85.921	-77.183	
1.033	85.921	-77.911	
1.066	85.921	-78.397	
1.100	85.921	-78.397	
1.133	85.921	-78.397	
1.166	85.679	-77.911	
1.200	85.679	-76.940	
1.233	85.679	-75.727	
1.266	85.679	-74.271	
1.300	85.679	-72.572	
1.333	85.679	-70.873	
1.366	85.679	-68.688	
1.400	85.679	-66.989	
1.433	85.679	-64.805	
1.466	85.679	-63.348	
1.500	85.679	-61.407	
1.533	85.679	-59.950	
1.566	85.679	-58.737	
1.600	85.679	-57.766	
1.633	85.921	-57.038	
1.666	85.921	-56.795	
1.700	85.921	-56.795	
1.733	85.921	-57.038	
1.766	85.921	-57.523	
1.800	86.164	-58.737	
1.833	86.164	-59.950	
1.866	86.164	-61.649	
1.900	86.164	-63.348	
1.933	86.164	-65.290	
1.966	86.164	-67.232	
2.000	86.164	-69.174	
2.033	86.164	-71.115	
2.066	86.164	-73.057	
2.100	86.164	-74.513	
2.133	86.164	-75.970	
2.166	86.164	-76.940	
2.200	86.164	-77.911	
2.233	86.164	-78.397	
2.266	86.164	-78.397	
2.300	86.164	-77.911	
2.333	86.164	-77.426	
2.366	85.921	-76.698	
2.400	85.921	-75.727	
2.433	85.921	-74.028	
2.466	85.921	-72.572	
2.500	85.921	-70.630	
2.533	85.921	-68.688	
2.566	85.921	-66.989	
2.600	85.921	-65.047	
2.633	85.921	-63.348	
2.666	85.921	-61.407	
2.700	85.921	-59.950	
2.733	85.921	-58.737	
2.766	85.921	-57.766	
2.800	85.921	-57.038	
2.833	85.921	-56.795	
2.866	85.921	-56.795	
2.900	85.921	-57.038	
2.933	85.921	-57.523	
2.966	85.921	-58.737	
3.000	85.921	-60.193	
3.033	85.921	-61.649	
3.066	86.164	-63.348	
3.100	86.164	-65.290	
3.133	86.164	-67.475	
3.166	86.164	-69.174	
3.200	86.164	-71.115	
3.233	86.164	-73.057	
3.266	86.164	-74.513	
3.300	86.164	-75.970	
3.333	86.164	-76.940	
3.366	86.164	-77.669	
3.400	86.164	-78.154	
3.433	86.164	-78.397	
3.466	86.164	-77.911	
3.500	86.164	-77.426	
3.533	86.164	-76.698	
3.566	86.164	-75.484	
3.600	86.164	-74.028	
3.633	86.164	-72.572	
3.666	86.164	-70.630	
3.700	86.164	-68.688	
3.733	86.164	-66.746	
3.766	86.164	-64.805	
3.800	85.921	-63.106	
3.833	85.921	-61.407	
3.866	85.921	-59.950	
3.900	85.921	-58.737	
3.933	85.921	-57.766	
3.966	85.921	-57.038	
4.000	85.921	-56.795	
4.033	85.921	-56.795	
4.066	85.921	-57.280	
4.100	85.921	-57.766	
4.133	85.679	-58.737	
4.166	85.921	-60.193	
4.200	85.921	-61.649	
4.233	85.921	-63.591	
4.266	85.921	-65.533	
4.300	85.921	-67.475	
4.333	85.921	-69.659	
4.366	85.921	-71.358	
4.400	85.921	-73.057	
4.433	85.921	-74.756	
4.466	86.164	-75.970	
4.500	86.164	-76.940	
4.533	86.164	-77.911	
4.566	86.164	-78.397	
4.600	86.164	-78.397	
4.633	86.164	-78.154	
4.666	86.164	-77.426	
