Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	86.407	-64.077	
0.034	85.921	-65.047	
0.067	85.921	-65.047	
0.100	85.679	-64.805	
0.134	85.193	-63.591	
0.167	84.951	-62.135	
0.200	84.951	-60.436	
0.234	84.708	-58.494	
0.267	84.708	-56.552	
0.300	84.708	-54.368	
0.334	84.465	-51.941	
0.367	84.465	-49.999	
0.400	84.708	-48.300	
0.434	84.708	-47.086	
0.467	84.951	-46.116	
0.500	84.951	-45.630	
0.534	85.193	-45.630	
0.567	85.193	-45.873	
0.600	85.436	-46.844	
0.634	85.679	-48.300	
0.667	85.921	-49.999	
0.700	86.164	-52.183	
0.734	86.650	-54.368	
0.767	86.650	-57.038	
0.800	86.892	-58.979	
0.834	87.135	-60.921	
0.867	87.135	-62.378	
0.900	87.378	-63.834	
0.934	87.378	-64.562	
0.967	87.378	-65.047	
1.000	87.378	-64.805	
1.034	87.378	-64.319	
1.067	87.378	-63.348	
1.100	86.892	-61.892	
1.134	86.650	-60.193	
1.167	86.650	-58.251	
1.200	86.164	-56.310	
1.234	85.921	-54.125	
1.267	85.679	-51.941	
1.300	85.436	-49.999	
1.334	84.951	-48.057	
1.367	84.951	-47.086	
1.400	84.465	-46.116	
1.434	84.465	-45.630	
1.467	84.222	-45.630	
1.500	83.980	-46.116	
1.534	83.980	-47.086	
1.567	83.980	-48.543	
1.600	83.980	-50.484	
1.634	83.980	-52.426	
1.667	84.465	-54.853	
1.700	84.465	-56.795	
1.734	84.951	-58.979	
1.767	84.951	-60.921	
1.800	85.436	-62.620	
1.834	85.921	-63.834	
1.867	86.164	-64.562	
1.900	86.407	-65.047	
1.934	86.892	-64.805	
1.967	87.378	-64.319	
2.000	87.620	-63.348	
2.034	87.863	-61.892	
2.067	87.863	-59.950	
2.100	88.106	-58.251	
2.134	88.106	-56.067	
2.167	88.106	-54.125	
2.200	87.863	-51.941	
2.234	87.863	-49.756	
2.267	87.863	-48.300	
2.300	87.620	-47.086	
2.334	87.620	-46.116	
2.367	87.135	-45.630	
2.400	86.892	-45.630	
2.434	86.650	-46.358	
2.467	86.407	-47.086	
2.500	85.921	-48.785	
2.534	85.679	-50.242	
2.567	85.679	-52.669	
2.600	85.193	-54.853	
2.634	84.951	-57.038	
2.667	84.708	-58.979	
2.700	84.708	-60.921	
2.734	84.465	-62.863	
2.767	84.465	-63.834	
2.800	84.465	-64.805	
2.834	84.465	-65.290	
2.867	84.708	-65.047	
2.900	84.708	-64.319	
2.934	84.951	-63.348	
2.967	85.193	-61.892	
3.000	85.436	-60.436	
3.034	85.679	-58.251	
3.067	85.921	-56.067	
3.100	86.164	-54.125	
3.134	86.407	-51.941	
3.167	86.892	-49.999	
3.200	87.135	-48.300	
3.234	87.378	-47.086	
3.267	87.620	-46.358	
3.300	87.863	-45.873	
3.334	87.863	-45.873	
3.367	87.863	-46.358	
3.400	88.106	-47.329	
3.434	88.106	-48.785	
3.467	87.863	-50.484	
3.500	88.106	-52.426	
3.534	87.620	-54.611	
3.567	87.620	-56.795	
3.600	87.378	-58.979	
3.634	86.892	-60.921	
3.667	86.650	-62.620	
3.700	86.164	-63.834	
3.734	85.921	-64.562	
3.767	85.921	-65.047	
3.800	85.193	-65.047	
3.834	84.951	-64.562	
3.867	84.708	-63.348	
3.900	84.465	-61.892	
3.934	84.222	-60.193	
3.967	84.222	-58.251	
4.000	83.980	-56.310	
4.034	83.980	-53.882	
4.067	83.980	-51.941	
4.100	84.465	-49.999	
4.134	84.465	-48.300	
4.167	84.708	-47.086	
4.200	84.951	-46.116	
4.234	84.951	-45.630	
4.267	85.436	-45.630	
4.300	85.679	-46.358	
4.334	86.164	-47.329	
4.367	86.164	-48.785	
4.400	86.650	-50.484	
4.434	87.135	-52.426	
4.467	87.135	-54.611	
4.500	87.620	-56.795	
4.534	87.620	-58.979	
4.567	87.863	-60.921	
4.600	87.863	-62.378	
4.634	87.863	-63.834	
4.667	87.863	-64.319	
4.700	87.863	-64.805	
4.734	87.620	-64.805	
4.767	87.620	-64.077	
4.800	87.378	-63.348	
4.834	86.892	-61.892	
