Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	85.436	-51.941	
0.033	85.436	-52.912	
0.067	84.951	-53.397	
0.100	84.951	-53.397	
0.133	84.951	-53.397	
0.167	85.436	-52.669	
0.200	85.921	-51.455	
0.233	85.921	-50.242	
0.267	85.921	-49.028	
0.300	85.921	-47.572	
0.333	85.921	-46.358	
0.367	86.407	-44.902	
0.400	86.407	-44.902	
0.433	87.378	-43.203	
0.467	87.378	-43.203	
0.500	87.378	-43.688	
0.533	87.378	-44.659	
0.567	87.135	-46.116	
0.600	87.135	-47.572	
0.633	87.378	-48.785	
0.667	87.620	-49.999	
0.700	87.620	-51.455	
0.733	87.135	-52.426	
0.767	86.892	-53.397	
0.800	86.407	-53.397	
0.833	86.407	-53.397	
0.867	86.407	-52.912	
0.900	86.407	-51.941	
0.933	85.921	-50.970	
0.967	85.193	-49.756	
1.000	84.951	-48.300	
1.033	84.951	-47.086	
1.067	84.951	-45.630	
1.100	84.951	-44.417	
1.133	84.951	-43.688	
1.167	84.951	-43.688	
1.200	84.951	-44.174	
1.233	84.951	-44.902	
1.267	84.951	-45.873	
1.300	84.951	-47.086	
1.333	85.436	-48.543	
1.367	85.679	-49.999	
1.400	85.921	-51.213	
1.433	85.921	-52.426	
1.467	86.164	-53.154	
1.500	86.407	-53.397	
1.533	86.892	-53.154	
1.567	87.135	-52.912	
1.600	87.378	-52.183	
1.633	87.378	-51.213	
1.667	87.135	-50.242	
1.700	87.378	-48.785	
1.733	87.620	-47.086	
1.767	87.620	-45.873	
1.800	87.620	-44.659	
1.833	87.378	-43.931	
1.867	87.135	-43.446	
1.900	86.892	-43.688	
1.933	86.650	-44.417	
1.967	86.650	-45.145	
2.000	86.407	-46.358	
2.033	86.407	-47.572	
2.067	86.164	-49.028	
2.100	85.921	-50.484	
2.133	85.679	-51.698	
2.167	85.679	-52.912	
2.200	85.436	-53.154	
2.233	85.436	-53.154	
2.267	85.436	-53.154	
2.300	85.436	-52.912	
2.333	85.436	-52.183	
2.367	85.436	-50.727	
2.400	85.679	-49.756	
2.433	85.679	-48.300	
2.467	85.921	-46.844	
2.500	85.921	-45.387	
2.533	86.164	-44.417	
2.567	86.650	-43.931	
2.600	86.650	-43.446	
2.633	86.650	-43.688	
2.667	87.135	-44.417	
2.700	87.135	-45.387	
2.733	87.135	-46.844	
2.767	87.135	-48.057	
2.800	87.135	-49.514	
2.833	87.135	-50.727	
2.867	87.378	-51.941	
2.900	87.135	-52.669	
2.933	87.135	-53.154	
2.967	86.892	-53.154	
3.000	86.650	-53.154	
3.033	86.407	-52.669	
3.067	86.164	-51.455	
3.100	86.164	-50.242	
3.133	85.679	-49.028	
3.167	85.679	-47.815	
3.200	85.193	-46.358	
3.233	85.193	-45.387	
3.267	85.193	-44.417	
3.300	85.193	-43.931	
3.333	85.193	-43.446	
3.367	84.951	-43.931	
3.400	84.951	-44.902	
3.433	84.951	-46.116	
3.467	84.951	-47.329	
3.500	85.193	-48.543	
3.533	85.436	-49.756	
3.567	85.679	-51.213	
3.600	85.921	-52.183	
3.633	85.921	-52.912	
3.667	86.164	-53.154	
3.700	86.407	-53.154	
3.733	86.650	-52.912	
3.767	86.892	-52.183	
3.800	87.135	-51.213	
3.833	87.135	-49.999	
3.867	87.135	-48.785	
3.900	87.135	-47.329	
3.933	87.135	-45.873	
3.967	87.135	-44.902	
4.000	87.135	-43.931	
4.033	87.135	-43.446	
4.067	87.135	-43.688	
4.100	86.650	-44.174	
4.133	86.650	-44.902	
4.167	86.407	-46.358	
4.200	86.164	-47.572	
4.233	86.164	-49.028	
4.267	85.921	-50.242	
4.300	85.679	-51.455	
4.333	85.436	-52.426	
4.367	85.193	-53.154	
4.400	85.193	-53.154	
4.433	85.193	-53.154	
4.467	85.193	-52.912	
4.500	84.951	-52.183	
4.533	84.951	-50.970	
