Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	86.407	-52.912	
0.033	86.164	-52.912	
0.067	86.164	-51.698	
0.100	86.164	-50.727	
0.133	85.921	-49.271	
0.167	85.921	-48.057	
0.200	85.921	-46.844	
0.233	85.921	-45.630	
0.267	85.921	-44.902	
0.300	85.921	-44.174	
0.333	85.921	-43.931	
0.367	85.921	-43.931	
0.400	85.921	-44.659	
0.433	85.921	-45.387	
0.467	85.921	-46.601	
0.500	85.921	-47.815	
0.533	85.921	-49.271	
0.567	86.164	-50.484	
0.600	86.164	-51.455	
0.633	86.164	-52.426	
0.667	86.164	-52.912	
0.700	86.407	-53.154	
0.733	86.407	-52.912	
0.767	86.407	-52.426	
0.800	86.407	-51.698	
0.833	86.407	-50.484	
0.867	86.407	-49.271	
0.900	86.407	-47.815	
0.933	86.407	-46.844	
0.967	86.407	-45.630	
1.000	86.407	-44.659	
1.033	86.407	-44.174	
1.067	86.164	-43.931	
1.100	86.164	-43.931	
1.133	86.164	-44.659	
1.167	86.164	-45.630	
1.200	86.164	-46.601	
1.233	86.164	-47.815	
1.267	85.921	-49.271	
1.300	85.921	-50.242	
1.333	85.921	-51.455	
1.367	85.921	-52.426	
1.400	85.921	-52.912	
1.433	85.921	-53.154	
1.467	85.921	-52.912	
1.500	85.921	-52.426	
1.533	85.921	-51.698	
1.567	85.921	-50.484	
1.600	85.921	-49.271	
1.633	86.164	-48.057	
1.667	86.164	-46.844	
1.700	86.164	-45.630	
1.733	86.164	-44.659	
1.767	86.164	-43.931	
1.800	86.164	-43.688	
1.833	86.164	-43.688	
1.867	86.407	-44.174	
1.900	86.407	-45.145	
1.933	86.407	-46.358	
1.967	86.407	-47.572	
2.000	86.407	-48.785	
2.033	86.164	-50.242	
2.067	86.407	-51.213	
2.100	86.407	-52.183	
2.133	86.407	-52.669	
2.167	86.407	-53.154	
2.200	86.164	-52.912	
2.233	86.164	-52.669	
2.267	86.164	-51.698	
2.300	86.164	-50.727	
2.333	86.164	-49.756	
2.367	86.164	-48.300	
2.400	85.679	-47.329	
2.433	85.679	-45.873	
2.467	85.679	-44.902	
2.500	85.679	-44.174	
2.533	85.679	-43.931	
2.567	85.679	-43.931	
2.600	85.679	-44.417	
2.633	85.679	-45.145	
2.667	85.679	-46.116	
2.700	85.679	-47.329	
2.733	85.921	-48.785	
2.767	86.164	-49.999	
2.800	86.164	-51.213	
2.833	86.407	-51.941	
2.867	86.407	-52.669	
2.900	86.407	-52.912	
2.933	86.407	-52.912	
2.967	86.407	-52.669	
3.000	86.407	-51.698	
3.033	86.650	-50.727	
3.067	86.407	-49.756	
3.100	86.164	-48.300	
3.133	86.164	-47.329	
3.167	86.164	-45.873	
3.200	86.164	-44.902	
3.233	86.407	-44.417	
3.267	86.407	-43.931	
3.300	86.407	-43.931	
3.333	86.164	-44.417	
3.367	86.164	-45.145	
3.400	86.164	-46.358	
3.433	86.164	-47.329	
3.467	86.164	-48.543	
3.500	85.921	-49.756	
3.533	86.164	-50.727	
3.567	86.164	-51.941	
3.600	85.921	-52.669	
3.633	85.921	-52.912	
3.667	85.921	-52.912	
3.700	86.164	-52.669	
3.733	86.164	-51.941	
3.767	86.164	-50.970	
3.800	85.921	-49.756	
3.833	86.164	-48.785	
