Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	89.319	-89.319	
0.033	89.077	-88.834	
0.066	88.834	-87.620	
0.100	88.591	-85.436	
0.133	88.591	-85.436	
0.166	88.106	-80.096	
0.200	88.106	-76.698	
0.233	88.106	-73.300	
0.266	87.620	-69.416	
0.300	87.378	-65.533	
0.333	87.378	-61.649	
0.366	87.135	-58.251	
0.400	86.892	-55.096	
0.433	86.892	-52.426	
0.466	86.892	-49.514	
0.500	86.892	-47.572	
0.533	86.892	-46.601	
0.566	86.892	-45.630	
0.600	86.892	-45.873	
0.633	86.892	-46.601	
0.666	86.892	-48.057	
0.700	86.892	-50.242	
0.733	87.378	-52.912	
0.766	87.378	-56.067	
0.800	87.620	-59.708	
0.833	87.863	-63.348	
0.866	88.106	-67.475	
0.900	88.106	-71.358	
0.933	88.349	-75.727	
0.966	88.591	-79.125	
1.000	88.834	-82.280	
1.033	89.319	-84.950	
1.066	89.319	-87.135	
1.100	89.319	-88.105	
1.133	89.562	-89.076	
1.166	89.562	-89.076	
1.200	89.562	-88.591	
1.233	89.562	-87.135	
1.266	89.562	-85.193	
1.300	89.562	-82.523	
1.333	89.562	-79.610	
1.366	89.562	-76.455	
1.400	89.077	-72.572	
1.433	89.319	-69.174	
1.466	89.077	-65.533	
1.500	89.077	-61.649	
1.533	88.834	-58.009	
1.566	88.349	-54.853	
1.600	88.349	-51.941	
1.633	88.106	-49.514	
1.666	87.863	-47.572	
1.700	87.863	-46.601	
1.733	87.863	-45.630	
1.766	87.378	-46.116	
1.800	87.378	-46.601	
1.833	86.892	-48.300	
1.866	86.892	-50.484	
1.900	86.892	-52.912	
1.933	86.892	-56.552	
1.966	86.892	-60.193	
2.000	86.892	-64.077	
2.033	86.892	-67.960	
2.066	87.378	-71.843	
2.100	87.378	-75.727	
2.133	87.378	-79.125	
2.166	87.378	-82.038	
2.200	87.863	-84.950	
2.233	87.863	-86.892	
2.266	88.106	-88.105	
2.300	88.349	-88.834	
2.333	88.591	-89.076	
2.366	88.591	-88.105	
2.400	89.077	-87.135	
2.433	89.077	-84.950	
2.466	89.077	-82.523	
2.500	89.562	-79.610	
2.533	89.562	-76.455	
2.566	89.562	-72.572	
2.600	89.562	-69.174	
2.633	89.805	-65.290	
2.666	89.805	-61.649	
2.700	89.805	-58.251	
2.733	89.805	-54.853	
2.766	89.562	-51.941	
2.800	89.562	-49.514	
2.833	89.319	-47.815	
2.866	89.319	-46.601	
2.900	89.319	-45.630	
2.933	89.319	-46.116	
2.966	89.077	-46.601	
3.000	88.834	-48.300	
3.033	88.591	-50.484	
3.066	88.349	-53.154	
3.100	88.106	-56.310	
3.133	88.106	-60.193	
3.166	87.863	-63.834	
3.200	87.863	-67.960	
3.233	87.620	-71.843	
3.266	87.620	-75.727	
3.300	87.378	-78.882	
3.333	87.378	-82.280	
3.366	87.378	-84.707	
3.400	87.378	-86.649	
3.433	87.378	-88.105	
3.466	87.378	-88.834	
3.500	87.378	-88.834	
3.533	87.620	-88.105	
3.566	87.863	-86.649	
3.600	87.863	-84.707	
3.633	88.106	-82.280	
3.666	88.106	-79.368	
3.700	88.106	-75.970	
3.733	88.106	-72.572	
3.766	88.591	-68.931	
3.800	88.591	-65.290	
3.833	88.834	-61.407	
3.866	89.077	-58.251	
3.900	89.319	-54.853	
3.933	89.319	-51.941	
3.966	89.319	-49.514	
4.000	89.562	-47.815	
4.033	89.562	-46.601	
4.066	89.562	-46.116	
4.100	89.805	-46.116	
4.133	89.805	-47.086	
4.166	89.805	-48.543	
4.200	89.805	-50.484	
4.233	89.562	-53.397	
4.266	89.562	-56.795	
4.300	89.562	-60.193	
4.333	89.319	-63.834	
4.366	89.077	-67.960	
4.400	89.077	-71.843	
4.433	88.834	-75.727	
4.466	88.591	-79.125	
4.500	88.591	-82.280	
4.533	88.106	-84.950	
4.566	88.106	-86.892	
4.600	87.863	-88.105	
4.633	87.863	-88.591	
4.666	87.863	-88.591	
4.700	87.378	-87.863	
4.733	87.378	-86.649	
4.766	87.378	-84.707	
4.800	87.378	-82.038	
4.833	87.378	-79.125	
4.866	87.378	-75.970	
4.900	87.378	-72.329	
4.933	87.378	-68.688	
4.966	87.378	-65.047	
5.000	87.620	-61.407	
5.033	87.620	-58.009	
5.066	87.863	-54.853	
5.100	87.863	-52.183	
5.133	88.106	-49.756	
5.166	88.106	-47.815	
5.200	88.349	-46.844	
5.233	88.591	-46.358	
5.266	88.591	-46.358	
5.300	88.834	-47.086	
5.333	89.077	-48.785	
5.366	89.077	-50.727	
5.400	89.319	-53.397	
5.433	89.562	-56.795	
5.466	89.562	-60.436	
5.500	89.805	-64.077	
5.533	89.562	-67.960	
5.566	89.562	-71.843	
5.600	89.562	-75.484	
5.633	89.562	-79.125	
5.666	89.319	-82.280	
5.700	89.319	-84.950	
5.733	89.077	-86.892	
5.766	89.077	-88.105	
5.800	88.834	-88.834	
5.833	88.591	-88.834	
