Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	85.921	-58.251	
0.033	86.164	-58.494	
0.066	86.407	-58.494	
0.100	86.407	-58.251	
0.133	86.650	-57.523	
0.166	86.407	-56.310	
0.200	86.650	-54.853	
0.233	86.650	-53.154	
0.266	86.892	-51.213	
0.300	86.892	-49.514	
0.333	86.892	-47.572	
0.366	86.650	-46.358	
0.400	86.650	-45.145	
0.433	86.650	-44.417	
0.466	86.650	-44.174	
0.500	86.650	-44.174	
0.533	86.650	-44.902	
0.566	86.650	-46.116	
0.600	86.164	-47.572	
0.633	86.164	-49.271	
0.666	86.164	-51.213	
0.700	86.164	-53.154	
0.733	86.164	-54.611	
0.766	85.921	-56.067	
0.800	85.679	-57.280	
0.833	85.679	-58.251	
0.866	85.679	-58.494	
0.900	85.679	-58.494	
0.933	85.679	-58.009	
0.966	85.679	-57.038	
1.000	85.679	-56.067	
1.033	85.679	-54.368	
1.066	85.679	-52.669	
1.100	85.921	-50.727	
1.133	86.164	-49.028	
1.166	86.164	-47.329	
1.200	86.164	-46.116	
1.233	86.164	-44.902	
1.266	86.164	-44.174	
1.300	86.407	-43.931	
1.333	86.650	-44.174	
1.366	86.650	-44.902	
1.400	86.650	-46.116	
1.433	86.650	-47.572	
1.466	86.650	-49.271	
1.500	86.650	-51.213	
1.533	86.650	-53.154	
1.566	86.892	-54.611	
1.600	86.892	-56.067	
1.633	86.650	-57.523	
1.666	86.650	-58.009	
1.700	86.650	-58.494	
1.733	86.650	-58.494	
1.766	86.650	-58.009	
1.800	86.164	-57.038	
1.833	86.164	-55.824	
1.866	85.679	-54.368	
1.900	85.679	-52.669	
1.933	85.679	-50.727	
1.966	85.679	-49.028	
2.000	85.679	-47.329	
2.033	85.679	-46.116	
2.066	85.436	-44.902	
2.100	85.436	-44.417	
2.133	85.436	-44.174	
2.166	85.679	-44.417	
2.200	85.679	-45.145	
2.233	85.679	-46.358	
2.266	85.679	-47.815	
2.300	85.679	-49.514	
2.333	85.679	-51.455	
2.366	86.164	-53.154	
2.400	86.164	-54.853	
2.433	86.407	-56.310	
2.466	86.650	-57.523	
2.500	86.650	-58.494	
2.533	86.650	-58.494	
2.566	86.650	-58.494	
2.600	86.650	-58.009	
2.633	86.892	-57.038	
2.666	86.892	-55.581	
2.700	86.650	-54.125	
2.733	86.650	-52.426	
2.766	86.650	-50.727	
2.800	86.650	-49.028	
2.833	86.650	-47.329	
2.866	86.650	-45.873	
2.900	86.164	-44.902	
2.933	86.164	-44.417	
2.966	86.164	-44.174	
3.000	86.164	-44.417	
3.033	86.164	-45.387	
3.066	86.164	-46.358	
3.100	85.921	-47.815	
3.133	85.679	-49.756	
3.166	85.679	-51.698	
3.200	85.679	-53.154	
3.233	85.679	-54.853	
3.266	85.679	-56.310	
3.300	85.679	-57.523	
3.333	85.679	-58.251	
3.366	85.679	-58.494	
3.400	85.679	-58.494	
3.433	85.921	-57.766	
3.466	86.164	-56.795	
3.500	86.407	-55.581	
3.533	86.407	-54.125	
3.566	86.164	-52.183	
3.600	86.650	-50.484	
3.633	86.650	-48.785	
3.666	86.650	-47.086	
3.700	86.650	-45.873	
3.733	86.650	-44.902	
3.766	86.892	-44.417	
3.800	86.892	-44.174	
3.833	86.892	-44.417	
3.866	86.892	-45.387	
3.900	86.892	-46.358	
3.933	86.650	-48.057	
3.966	86.650	-49.756	
4.000	86.650	-51.698	
4.033	86.650	-53.154	
4.066	86.650	-54.853	
4.100	86.164	-56.310	
4.133	86.407	-57.523	
4.166	86.164	-58.009	
4.200	85.921	-58.494	
4.233	85.921	-58.494	
4.266	85.679	-57.523	
4.300	85.679	-56.795	
4.333	85.921	-55.581	
