Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	86.407	-66.746	
0.034	86.407	-67.717	
0.067	86.407	-68.203	
0.100	86.407	-67.717	
0.134	86.407	-67.232	
0.167	86.407	-65.533	
0.200	86.650	-63.591	
0.234	86.164	-60.921	
0.267	86.164	-58.251	
0.300	86.164	-55.581	
0.334	86.164	-52.669	
0.367	86.164	-49.999	
0.400	86.164	-47.329	
0.434	86.164	-45.145	
0.467	85.921	-43.688	
0.500	85.679	-42.718	
0.534	85.921	-42.960	
0.567	85.921	-44.174	
0.600	85.921	-45.873	
0.634	85.921	-48.057	
0.667	85.921	-50.484	
0.700	85.921	-53.397	
0.734	85.679	-56.552	
0.767	85.679	-59.465	
0.800	85.921	-62.135	
0.834	86.164	-64.319	
0.867	86.164	-66.018	
0.900	85.921	-67.232	
0.934	85.921	-67.717	
0.967	86.164	-67.717	
1.000	86.164	-67.232	
1.034	86.164	-66.018	
1.067	86.164	-64.319	
1.100	86.164	-62.135	
1.134	86.164	-59.708	
1.167	86.407	-57.038	
1.200	86.650	-54.125	
1.234	86.650	-51.698	
1.267	86.164	-49.028	
1.300	86.164	-46.844	
1.334	86.164	-44.902	
1.367	86.164	-43.688	
1.400	86.407	-43.203	
1.434	86.407	-43.688	
1.467	86.407	-44.659	
1.500	86.164	-46.601	
1.534	86.164	-49.028	
1.567	86.164	-51.698	
1.600	86.164	-54.611	
1.634	86.164	-57.280	
1.667	86.407	-59.950	
1.700	85.921	-62.378	
1.734	85.921	-64.805	
1.767	85.921	-66.261	
1.800	85.921	-67.475	
1.834	85.921	-67.717	
1.867	85.921	-67.717	
1.900	85.679	-66.746	
1.934	85.921	-65.533	
1.967	85.921	-63.591	
2.000	85.679	-61.407	
2.034	85.921	-58.979	
2.067	85.679	-56.310	
2.100	85.436	-53.397	
2.134	85.679	-50.970	
2.167	85.679	-48.543	
2.200	85.921	-46.601	
2.234	85.921	-44.659	
2.267	85.921	-43.688	
2.300	85.679	-43.446	
2.334	85.679	-44.174	
2.367	85.679	-45.387	
2.400	85.921	-47.086	
2.434	85.921	-49.028	
2.467	86.164	-51.941	
2.500	85.921	-54.611	
2.534	85.921	-57.280	
2.567	85.921	-60.193	
2.600	85.921	-62.620	
2.634	86.164	-64.562	
2.667	85.921	-66.018	
2.700	85.921	-66.989	
2.734	85.921	-67.475	
2.767	85.921	-67.475	
2.800	85.921	-66.504	
2.834	85.921	-65.533	
2.867	85.921	-63.591	
2.900	85.921	-61.164	
2.934	85.679	-58.737	
2.967	85.436	-56.067	
3.000	85.921	-53.397	
3.034	85.921	-50.970	
3.067	85.436	-48.543	
3.100	85.436	-46.358	
3.134	85.436	-44.659	
3.167	85.193	-43.446	
3.200	85.436	-43.203	
3.234	85.436	-43.688	
3.267	85.436	-44.902	
3.300	85.436	-46.844	
3.334	85.436	-49.028	
3.367	85.436	-51.698	
3.400	85.436	-54.125	
3.434	85.436	-56.795	
3.467	85.679	-59.465	
3.500	85.921	-62.135	
3.534	85.921	-64.077	
3.567	85.921	-65.776	
3.600	85.921	-66.989	
3.634	85.921	-67.475	
3.667	85.921	-67.475	
3.700	85.921	-66.504	
3.734	85.921	-65.533	
3.767	85.921	-63.591	
3.800	85.921	-61.649	
3.834	85.921	-59.222	
3.867	85.921	-56.552	
3.900	85.921	-53.882	
3.934	85.921	-51.213	
3.967	85.921	-48.785	
4.000	85.921	-46.844	
4.034	85.921	-45.145	
4.067	85.921	-43.931	
4.100	85.921	-43.446	
4.134	85.921	-43.688	
4.167	85.921	-44.659	
4.200	85.921	-46.358	
4.234	85.921	-48.300	
4.267	85.921	-50.727	
4.300	85.921	-53.640	
4.334	85.921	-56.552	
4.367	85.921	-58.979	
4.400	85.921	-61.407	
4.434	85.679	-63.834	
4.467	85.679	-65.290	
4.500	85.679	-66.746	
4.534	85.921	-67.475	
4.567	85.921	-67.232	
4.600	85.921	-66.746	
4.634	85.921	-65.776	
4.667	85.679	-63.834	
