Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	86.164	-68.931	
0.033	86.407	-67.960	
0.066	86.650	-66.261	
0.100	86.650	-64.562	
0.133	86.650	-62.378	
0.166	86.892	-59.950	
0.200	87.135	-57.523	
0.233	87.135	-54.853	
0.266	87.135	-52.426	
0.300	87.135	-50.242	
0.333	86.892	-48.300	
0.366	86.892	-46.844	
0.400	86.892	-45.873	
0.433	86.892	-45.387	
0.466	86.892	-45.387	
0.500	86.650	-46.116	
0.533	86.407	-47.086	
0.566	86.164	-48.543	
0.600	85.921	-50.970	
0.633	85.921	-52.912	
0.666	85.921	-55.824	
0.700	85.679	-58.494	
0.733	85.193	-60.678	
0.766	84.951	-63.591	
0.800	84.951	-65.533	
0.833	84.951	-67.475	
0.866	84.951	-68.688	
0.900	84.951	-69.416	
0.933	84.951	-69.659	
0.966	84.951	-69.416	
1.000	84.951	-68.445	
1.033	84.951	-66.989	
1.066	84.951	-65.047	
1.100	84.951	-62.863	
1.133	85.193	-60.678	
1.166	85.436	-58.009	
1.200	85.679	-55.581	
1.233	85.679	-52.912	
1.266	85.921	-50.970	
1.300	86.164	-49.028	
1.333	86.407	-47.329	
1.366	86.407	-46.116	
1.400	86.650	-45.630	
1.433	86.892	-45.387	
1.466	86.892	-45.873	
1.500	86.892	-46.844	
1.533	86.892	-48.543	
1.566	86.892	-50.484	
1.600	86.892	-52.426	
1.633	87.135	-55.096	
1.666	86.892	-57.766	
1.700	86.892	-60.193	
1.733	86.650	-62.620	
1.766	86.407	-65.047	
1.800	86.407	-66.504	
1.833	86.164	-68.445	
1.866	85.921	-68.931	
1.900	85.436	-69.416	
1.933	85.436	-69.416	
1.966	85.436	-68.445	
2.000	85.193	-67.475	
2.033	84.708	-65.776	
2.066	84.708	-63.591	
2.100	84.465	-61.407	
2.133	84.465	-58.979	
2.166	84.465	-56.310	
2.200	84.465	-53.882	
2.233	84.465	-51.213	
2.266	84.465	-49.271	
2.300	84.465	-47.572	
2.333	84.465	-46.358	
2.366	84.708	-45.630	
2.400	84.951	-45.145	
2.433	84.951	-45.630	
2.466	85.193	-46.358	
2.500	85.193	-47.815	
2.533	85.436	-49.756	
2.566	85.921	-52.183	
2.600	85.921	-54.611	
2.633	85.921	-57.038	
2.666	86.407	-59.708	
2.700	86.407	-62.378	
2.733	86.407	-64.319	
2.766	86.650	-66.261	
2.800	86.892	-67.717	
2.833	86.650	-68.688	
2.866	86.650	-69.174	
2.900	86.650	-69.174	
2.933	86.650	-68.688	
2.966	86.650	-67.475	
3.000	86.650	-66.018	
3.033	86.407	-64.077	
3.066	86.164	-61.649	
3.100	86.164	-59.222	
3.133	86.164	-56.795	
3.166	85.921	-54.368	
3.200	85.679	-51.941	
3.233	85.436	-49.514	
3.266	85.193	-47.572	
3.300	85.193	-46.116	
3.333	84.951	-45.387	
3.366	84.951	-45.145	
3.400	84.951	-45.145	
3.433	84.951	-46.116	
3.466	84.708	-47.086	
3.500	84.708	-49.028	
3.533	84.951	-51.213	
3.566	84.951	-53.882	
3.600	84.951	-56.310	
3.633	85.193	-58.737	
3.666	85.436	-61.649	
3.700	85.679	-63.834	
3.733	85.921	-66.018	
3.766	85.921	-67.475	
3.800	86.164	-68.445	
3.833	86.407	-69.174	
3.866	86.650	-69.174	
3.900	86.650	-68.688	
3.933	86.892	-67.717	
3.966	87.135	-66.261	
4.000	87.135	-64.319	
4.033	87.378	-62.135	
4.066	87.378	-59.708	
4.100	87.620	-57.038	
4.133	87.620	-54.853	
4.166	87.135	-52.426	
4.200	87.135	-50.242	
4.233	87.135	-48.300	
4.266	87.135	-46.844	
4.300	87.135	-45.873	
4.333	86.892	-45.387	
4.366	86.650	-45.387	
4.400	86.650	-46.116	
4.433	86.407	-47.086	
4.466	86.164	-48.543	
4.500	85.921	-50.727	
4.533	85.921	-52.912	
4.566	85.679	-55.581	
4.600	85.679	-58.494	
4.633	85.193	-60.921	
4.666	85.193	-63.348	
4.700	85.193	-65.533	
4.733	85.193	-67.232	
4.766	85.193	-68.445	
4.800	85.193	-69.174	
4.833	85.193	-69.174	
4.866	85.193	-68.931	
4.900	85.193	-68.203	
