Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	70.873	-47.572	
0.034	71.359	-48.785	
0.067	72.572	-50.727	
0.100	73.786	-52.912	
0.134	74.999	-55.581	
0.167	76.213	-58.737	
0.200	78.155	-62.135	
0.234	79.854	-65.533	
0.267	81.795	-69.416	
0.300	83.737	-72.572	
0.334	85.921	-75.970	
0.367	87.863	-79.125	
0.400	90.048	-81.795	
0.434	91.989	-83.737	
0.467	93.688	-85.436	
0.500	94.902	-86.406	
0.534	96.358	-86.649	
0.567	97.572	-86.406	
0.600	98.057	-85.678	
0.634	98.300	-83.979	
0.667	98.785	-81.795	
0.700	98.543	-79.368	
0.734	98.057	-76.455	
0.767	96.844	-73.300	
0.800	96.116	-70.144	
0.834	95.145	-66.746	
0.867	93.931	-63.348	
0.900	92.232	-59.950	
0.934	90.290	-56.795	
0.967	88.349	-54.125	
1.000	86.650	-51.941	
1.034	84.708	-49.999	
1.067	82.766	-48.543	
1.100	81.067	-47.815	
1.134	79.125	-47.572	
1.167	77.184	-48.057	
1.200	75.727	-49.028	
1.234	74.271	-50.727	
1.267	73.543	-53.154	
1.300	72.815	-55.824	
1.334	72.329	-58.737	
1.367	71.844	-62.135	
1.400	72.087	-65.776	
1.434	72.572	-69.174	
1.467	73.543	-72.814	
1.500	74.514	-75.970	
1.534	75.727	-78.882	
1.567	77.426	-81.552	
1.600	79.368	-83.494	
1.634	81.553	-84.950	
1.667	83.009	-85.678	
1.700	85.436	-85.921	
1.734	87.863	-85.678	
1.767	89.805	-84.707	
1.800	91.747	-83.494	
1.834	93.446	-81.552	
1.867	95.387	-79.125	
1.900	97.086	-76.212	
1.934	98.300	-73.300	
1.967	99.271	-69.902	
2.000	99.756	-66.746	
2.034	100.727	-63.348	
2.067	101.213	-60.193	
2.100	100.970	-57.280	
2.134	100.484	-54.368	
2.167	99.756	-51.941	
2.200	99.028	-49.999	
2.234	98.057	-48.543	
2.267	96.844	-47.572	
2.300	95.145	-47.572	
2.334	93.446	-47.815	
2.367	91.504	-48.785	
2.400	89.562	-50.484	
2.434	87.620	-52.669	
2.467	85.679	-55.339	
2.500	83.980	-58.251	
2.534	82.038	-61.649	
2.567	80.096	-65.047	
2.600	78.397	-68.445	
2.634	77.184	-72.329	
2.667	76.213	-75.727	
2.700	75.242	-78.639	
2.734	74.514	-81.552	
2.767	74.271	-83.494	
2.800	74.757	-85.436	
2.834	74.999	-86.406	
2.867	75.242	-86.649	
2.900	75.970	-86.406	
2.934	77.426	-85.678	
2.967	78.883	-84.222	
3.000	80.339	-82.280	
3.034	81.553	-79.853	
3.067	83.494	-77.183	
3.100	85.436	-74.271	
3.134	87.378	-70.873	
3.167	89.077	-67.475	
3.200	90.776	-64.077	
3.234	92.718	-60.678	
3.267	94.417	-57.766	
3.300	96.116	-54.853	
3.334	97.329	-52.426	
3.367	98.543	-50.484	
3.400	99.028	-49.028	
3.434	99.999	-48.057	
3.467	100.484	-47.329	
3.500	100.970	-47.572	
3.534	100.727	-48.300	
3.567	100.484	-49.756	
3.600	99.514	-51.941	
3.634	98.543	-54.368	
3.667	97.572	-57.038	
3.700	96.601	-60.193	
3.734	94.659	-63.591	
3.767	92.718	-66.989	
3.800	90.776	-70.873	
3.834	89.077	-74.028	
3.867	87.135	-77.183	
3.900	85.193	-80.096	
3.934	82.766	-82.280	
3.967	81.310	-84.222	
4.000	79.611	-85.678	
4.034	77.912	-86.164	
4.067	76.456	-86.164	
4.100	74.999	-85.678	
4.134	74.514	-84.707	
4.167	74.028	-83.008	
4.200	73.543	-80.824	
4.234	73.058	-78.154	
4.267	74.028	-75.241	
4.300	74.514	-72.329	
4.334	75.242	-68.931	
4.367	75.970	-65.533	
4.400	77.184	-62.135	
4.434	78.883	-59.222	
4.467	80.582	-56.310	
4.500	82.281	-53.882	
4.534	83.980	-51.455	
4.567	85.921	-49.999	
4.600	87.863	-49.028	
4.634	89.805	-48.057	
4.667	91.747	-48.057	
4.700	93.688	-49.028	
4.734	95.145	-49.999	
4.767	96.358	-51.941	
4.800	97.329	-54.368	
4.834	98.300	-57.038	
4.867	99.271	-60.193	
4.900	99.756	-63.348	
4.934	99.756	-66.746	
4.967	99.271	-70.387	
5.000	98.785	-73.785	
5.034	98.057	-76.940	
5.067	97.329	-79.368	
5.100	95.387	-81.795	
5.134	93.931	-83.737	
5.167	92.232	-85.193	
5.200	90.290	-85.678	
5.234	88.106	-85.678	
5.267	85.921	-85.436	
5.300	83.980	-84.222	
5.334	82.038	-82.766	
5.367	80.096	-80.581	
