Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	43.932	-49.756	
0.033	43.446	-48.057	
0.066	41.990	-47.086	
0.100	41.990	-46.601	
0.133	42.233	-47.329	
0.166	42.475	-48.057	
0.200	45.145	-51.455	
0.233	47.815	-53.882	
0.266	51.699	-56.552	
0.300	55.582	-59.708	
0.333	59.708	-62.620	
0.366	65.533	-65.290	
0.400	72.572	-67.717	
0.433	79.611	-68.931	
0.466	86.892	-69.416	
0.500	93.688	-68.688	
0.533	100.242	-67.232	
0.566	106.310	-65.290	
0.600	112.863	-62.620	
0.633	117.232	-59.708	
0.666	121.115	-57.038	
0.700	124.756	-54.368	
0.733	127.911	-51.698	
0.766	126.698	-49.756	
0.800	129.610	-48.057	
0.833	130.338	-47.329	
0.866	130.096	-47.572	
0.900	129.610	-48.543	
0.933	128.154	-50.242	
0.966	125.970	-52.183	
1.000	123.300	-55.096	
1.033	119.902	-58.009	
1.066	115.290	-60.921	
1.100	109.950	-64.077	
1.133	103.640	-66.504	
1.166	96.844	-68.445	
1.200	90.533	-69.416	
1.233	83.009	-69.659	
1.266	75.485	-68.445	
1.300	69.417	-66.989	
1.333	63.834	-64.562	
1.366	58.495	-62.135	
1.400	54.368	-58.979	
1.433	50.728	-56.310	
1.466	48.058	-53.640	
1.500	45.631	-51.213	
1.533	44.174	-49.271	
1.566	43.446	-48.057	
1.600	43.932	-48.300	
1.633	43.932	-49.028	
1.666	44.417	-49.999	
1.700	46.116	-51.941	
1.733	48.058	-54.125	
1.766	51.456	-56.552	
1.800	56.067	-59.465	
1.833	59.708	-62.620	
1.866	65.048	-65.290	
1.900	71.359	-67.232	
1.933	78.155	-68.688	
1.966	83.980	-69.174	
2.000	92.232	-69.174	
2.033	98.300	-67.717	
2.066	104.611	-66.504	
2.100	109.950	-63.834	
2.133	115.047	-61.164	
2.166	119.174	-58.251	
2.200	122.814	-55.339	
2.233	125.484	-53.397	
2.266	124.513	-50.970	
2.300	128.397	-49.999	
2.333	129.125	-49.028	
2.366	129.368	-48.785	
2.400	128.882	-49.514	
2.433	127.669	-50.727	
2.466	125.970	-52.912	
2.500	122.814	-55.824	
2.533	119.416	-58.494	
2.566	115.047	-61.164	
2.600	109.950	-64.077	
2.633	104.368	-66.504	
2.666	97.815	-68.445	
2.700	91.504	-69.416	
2.733	83.737	-69.416	
2.766	77.426	-68.445	
2.800	71.359	-67.475	
2.833	65.533	-65.290	
2.866	60.194	-62.620	
2.900	55.825	-60.193	
2.933	52.184	-57.523	
2.966	49.757	-55.339	
3.000	47.572	-53.154	
3.033	46.116	-51.698	
3.066	44.902	-50.727	
3.100	44.660	-49.999	
3.133	44.902	-50.484	
3.166	45.631	-51.455	
3.200	47.572	-53.154	
3.233	49.999	-55.339	
3.266	52.427	-57.766	
3.300	56.310	-60.436	
3.333	60.679	-63.106	
3.366	66.019	-65.776	
3.400	72.087	-67.475	
3.433	78.640	-68.931	
3.466	84.708	-69.416	
3.500	91.504	-69.174	
3.533	98.057	-67.960	
3.566	104.368	-66.504	
3.600	109.708	-64.077	
3.633	114.562	-61.407	
3.666	118.445	-58.979	
3.700	121.601	-56.552	
3.733	124.513	-54.125	
3.766	126.698	-52.183	
3.800	127.911	-50.727	
3.833	128.882	-49.999	
3.866	128.882	-49.756	
3.900	128.154	-50.484	
3.933	126.698	-51.941	
3.966	124.513	-53.882	
4.000	122.086	-56.552	
4.033	118.688	-58.979	
4.066	114.077	-61.892	
4.100	108.979	-64.319	
4.133	102.912	-66.746	
4.166	97.086	-68.445	
4.200	90.533	-69.416	
4.233	84.465	-69.416	
4.266	77.669	-68.688	
4.300	71.359	-67.475	
4.333	65.776	-65.290	
4.366	61.164	-63.348	
4.400	57.038	-60.921	
4.433	53.640	-58.494	
4.466	50.970	-56.310	
4.500	48.543	-54.368	
