Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	60.922	-63.348	85.679	-12.621	
0.034	62.135	-63.834	85.679	-12.863	
0.067	63.592	-64.562	85.921	-12.863	
0.100	66.261	-65.533	85.921	-12.863	
0.134	68.931	-66.504	85.921	-12.863	
0.167	72.087	-67.475	85.921	-12.863	
0.200	75.485	-68.203	85.921	-12.863	
0.234	78.640	-68.931	85.921	-12.863	
0.267	82.523	-68.931	85.921	-12.863	
0.300	86.407	-69.174	85.921	-12.863	
0.334	90.290	-68.688	85.921	-12.863	
0.367	94.417	-68.445	85.921	-12.863	
0.400	97.329	-67.475	85.921	-12.863	
0.434	100.242	-66.989	85.921	-12.863	
0.467	103.154	-65.533	85.921	-12.863	
0.500	105.581	-64.562	85.921	-12.863	
0.534	107.766	-64.077	85.921	-12.863	
0.567	109.222	-63.106	85.921	-12.863	
0.600	110.921	-62.378	85.921	-12.863	
0.634	110.921	-62.135	85.921	-12.863	
0.667	111.164	-62.135	85.921	-12.863	
0.700	110.436	-62.620	85.921	-12.863	
0.734	110.193	-62.620	85.921	-12.863	
0.767	108.737	-63.348	85.921	-12.863	
0.800	107.038	-64.077	85.921	-12.863	
0.834	105.096	-65.047	85.921	-12.863	
0.867	102.183	-66.504	85.921	-12.863	
0.900	99.514	-67.232	85.921	-12.863	
0.934	96.358	-67.717	85.921	-12.863	
0.967	92.960	-68.203	85.921	-12.863	
1.000	89.319	-69.416	85.921	-12.863	
1.034	84.708	-69.659	85.921	-12.863	
1.067	81.067	-68.931	85.921	-12.863	
1.100	77.669	-68.688	85.921	-12.863	
1.134	74.514	-67.717	85.921	-12.863	
1.167	71.359	-67.475	85.921	-12.863	
1.200	68.446	-66.261	85.921	-12.863	
1.234	65.776	-65.533	85.921	-12.863	
1.267	63.592	-64.319	85.921	-12.863	
1.300	62.135	-63.834	85.921	-12.863	
1.334	61.164	-63.591	85.921	-12.863	
1.367	60.922	-63.348	85.921	-12.863	
1.400	61.164	-63.348	85.921	-12.863	
1.434	61.650	-63.348	85.921	-12.863	
1.467	62.135	-63.834	85.921	-12.863	
1.500	62.621	-64.077	85.921	-12.863	
1.534	65.533	-65.047	85.921	-12.863	
1.567	68.203	-66.746	85.921	-12.863	
1.600	71.359	-67.232	85.921	-12.863	
1.634	74.271	-67.717	85.921	-12.863	
1.667	77.912	-68.203	85.921	-12.863	
1.700	81.067	-68.931	85.921	-12.863	
1.734	83.980	-69.174	85.921	-12.863	
1.767	89.319	-68.931	85.921	-12.863	
1.800	92.475	-68.445	85.921	-12.863	
1.834	96.116	-67.717	85.921	-12.863	
1.867	99.028	-67.232	85.921	-12.863	
1.900	101.698	-66.504	85.921	-12.863	
1.934	103.882	-65.533	85.921	-12.863	
1.967	104.853	-64.562	85.921	-12.863	
2.000	108.009	-63.834	85.921	-12.863	
2.034	109.465	-62.863	85.921	-12.863	
2.067	109.222	-62.863	85.921	-12.863	
2.100	111.407	-63.106	85.921	-12.863	
2.134	110.193	-62.620	85.921	-12.863	
2.167	110.678	-62.620	85.921	-12.863	
2.200	108.494	-63.348	85.921	-12.863	
2.234	107.523	-64.077	85.921	-12.863	
2.267	105.824	-65.047	85.921	-12.863	
2.300	103.397	-65.776	85.921	-12.863	
2.334	100.727	-67.232	85.921	-12.863	
2.367	97.086	-67.475	85.921	-12.863	
2.400	92.475	-68.445	85.921	-12.863	
2.434	91.504	-68.931	85.921	-12.863	
2.467	88.106	-69.174	85.921	-12.863	
2.500	83.252	-69.174	85.921	-12.863	
2.534	79.125	-68.931	85.921	-12.863	
2.567	74.757	-67.960	85.921	-12.863	
2.600	72.572	-67.960	85.921	-12.863	
2.634	69.659	-66.989	85.921	-12.863	
2.667	67.232	-65.776	85.921	-12.863	
2.700	65.048	-65.290	85.921	-12.863	
2.734	63.349	-64.562	85.921	-12.863	
2.767	61.893	-63.834	85.921	-12.863	
2.800	61.407	-63.348	85.921	-12.863	
2.834	60.436	-63.348	85.921	-12.863	
2.867	61.650	-63.591	85.921	-12.863	
2.900	62.863	-65.047	85.921	-12.863	
2.934	63.592	-64.319	85.921	-12.863	
2.967	65.048	-65.290	85.921	-12.863	
3.000	67.232	-65.776	85.921	-12.863	
3.034	70.145	-66.746	85.921	-12.863	
3.067	73.300	-67.475	85.921	-12.863	
3.100	75.242	-67.960	85.921	-12.863	
3.134	78.640	-68.445	85.921	-12.863	
3.167	83.252	-69.174	85.921	-12.863	
3.200	88.106	-68.931	85.921	-12.863	
3.234	91.504	-68.931	85.921	-12.863	
3.267	95.387	-68.203	85.921	-12.863	
3.300	97.572	-67.717	85.921	-12.863	
3.334	100.484	-66.989	85.921	-12.863	
3.367	102.669	-65.776	85.921	-12.863	
3.400	105.096	-65.047	85.921	-12.863	
3.434	105.339	-64.319	85.921	-12.863	
3.467	108.251	-63.591	85.921	-12.863	
3.500	109.222	-63.106	85.921	-12.863	
3.534	109.708	-62.863	85.921	-12.863	
3.567	109.708	-62.863	85.921	-12.863	
3.600	109.222	-63.106	85.921	-12.863	
3.634	108.494	-63.834	85.921	-12.863	
3.667	107.038	-64.077	85.921	-12.863	
3.700	105.824	-64.805	85.921	-12.863	
3.734	103.640	-65.776	85.921	-12.863	
3.767	101.213	-66.746	85.921	-12.863	
3.800	97.815	-67.717	85.921	-12.863	
3.834	95.873	-67.960	85.921	-12.863	
3.867	91.504	-69.902	85.921	-12.863	
3.900	88.349	-69.416	85.921	-12.863	
3.934	83.980	-68.931	85.921	-12.863	
3.967	80.339	-69.174	85.921	-12.863	
4.000	76.941	-68.445	85.921	-12.863	
4.034	73.543	-67.475	85.921	-12.863	
4.067	70.873	-67.232	85.921	-12.863	
4.100	67.232	-66.261	85.921	-12.863	
4.134	66.019	-65.533	85.921	-12.863	
4.167	64.077	-64.805	85.921	-12.863	
4.200	62.863	-64.319	85.921	-12.863	
4.234	61.893	-63.348	85.921	-12.863	
4.267	61.650	-63.348	85.921	-12.863	
4.300	61.893	-63.591	85.921	-12.863	
4.334	62.621	-63.834	85.921	-12.863	
4.367	63.592	-64.319	85.921	-12.863	
4.400	64.077	-63.834	85.921	-12.863	
4.434	66.990	-66.018	85.921	-12.863	
4.467	69.174	-66.746	85.921	-12.863	
4.500	71.844	-67.232	85.921	-12.863	
