Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	85.921	-63.591	
0.033	85.921	-63.106	
0.066	85.921	-62.135	
0.100	85.679	-60.921	
0.133	85.679	-59.222	
0.166	85.436	-57.766	
0.200	85.436	-55.824	
0.233	85.436	-53.882	
0.266	85.436	-52.183	
0.300	85.436	-50.484	
0.333	85.436	-49.028	
0.366	85.436	-48.057	
0.400	85.436	-47.329	
0.433	85.679	-47.086	
0.466	85.679	-47.086	
0.500	85.679	-47.572	
0.533	85.679	-48.300	
0.566	86.164	-49.756	
0.600	86.164	-51.213	
0.633	86.164	-52.912	
0.666	86.407	-55.096	
0.700	86.164	-57.038	
0.733	86.650	-58.494	
0.766	86.650	-60.436	
0.800	86.650	-61.892	
0.833	86.650	-62.378	
0.866	86.650	-63.348	
0.900	86.650	-63.348	
0.933	86.650	-63.348	
0.966	86.164	-62.863	
1.000	86.164	-61.892	
1.033	86.164	-60.678	
1.066	86.164	-59.222	
1.100	86.164	-57.523	
1.133	85.921	-55.581	
1.166	85.921	-53.882	
1.200	85.679	-51.941	
1.233	85.679	-50.242	
1.266	85.679	-49.028	
1.300	85.679	-47.815	
1.333	85.436	-47.086	
1.366	85.193	-46.844	
1.400	85.193	-46.844	
1.433	85.193	-47.329	
1.466	85.193	-48.300	
1.500	85.193	-49.756	
1.533	85.193	-51.213	
1.566	85.193	-53.154	
1.600	85.193	-54.853	
1.633	85.436	-57.038	
1.666	85.436	-58.494	
1.700	85.679	-60.436	
1.733	85.679	-61.649	
1.766	85.921	-62.620	
1.800	85.921	-63.348	
1.833	85.921	-63.348	
1.866	86.164	-63.348	
1.900	86.164	-62.863	
1.933	86.164	-61.892	
1.966	86.164	-60.921	
2.000	86.407	-59.222	
2.033	86.407	-57.523	
2.066	86.407	-55.824	
2.100	86.407	-53.882	
2.133	86.164	-52.426	
2.166	86.164	-50.727	
2.200	86.407	-49.271	
2.233	86.164	-48.057	
2.266	86.164	-47.572	
2.300	86.164	-47.086	
2.333	85.921	-47.086	
2.366	85.921	-47.572	
2.400	85.921	-48.543	
2.433	85.921	-49.756	
2.466	85.679	-51.455	
2.500	85.436	-52.912	
2.533	85.436	-54.853	
2.566	85.436	-56.795	
2.600	85.436	-58.737	
2.633	85.436	-60.436	
2.666	85.436	-61.649	
2.700	85.436	-62.620	
2.733	85.436	-63.348	
2.766	85.436	-63.591	
2.800	85.436	-63.591	
2.833	85.679	-63.106	
2.866	85.436	-62.135	
2.900	85.679	-60.678	
2.933	85.921	-59.222	
2.966	85.921	-57.523	
3.000	85.921	-55.824	
3.033	85.921	-54.125	
3.066	86.164	-52.426	
3.100	86.164	-50.727	
3.133	86.164	-49.271	
3.166	86.407	-48.300	
3.200	86.407	-47.815	
3.233	86.407	-47.329	
3.266	86.407	-47.329	
3.300	86.407	-47.815	
3.333	86.407	-48.785	
3.366	86.407	-49.999	
3.400	86.407	-51.455	
3.433	86.407	-53.154	
3.466	86.407	-54.853	
3.500	86.407	-56.795	
3.533	85.921	-58.737	
3.566	85.921	-60.193	
3.600	85.921	-61.649	
3.633	85.921	-62.620	
3.666	85.921	-63.106	
3.700	85.679	-63.591	
3.733	85.679	-63.591	
3.766	85.436	-63.106	
3.800	85.436	-62.135	
3.833	85.436	-60.678	
3.866	85.436	-59.222	
3.900	85.193	-57.523	
3.933	85.436	-55.824	
3.966	85.436	-54.125	
4.000	85.436	-52.183	
4.033	85.436	-50.484	
4.066	85.436	-49.271	
4.100	85.436	-48.300	
4.133	85.679	-47.572	
4.166	85.679	-47.329	
4.200	85.679	-47.329	
4.233	85.921	-47.815	
4.266	85.921	-48.543	
4.300	85.921	-49.756	
4.333	86.164	-51.455	
4.366	86.407	-53.154	
4.400	86.407	-54.853	
4.433	86.407	-56.795	
4.466	86.407	-58.494	
4.500	86.407	-60.193	
4.533	86.407	-61.407	
4.566	86.407	-62.378	
4.600	86.407	-63.106	
4.633	86.407	-63.348	
4.666	86.407	-63.348	
4.700	86.407	-62.863	
4.733	86.164	-62.135	
4.766	86.164	-60.678	
