Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	86.407	-57.766	
0.033	86.407	-58.251	
0.067	86.407	-58.251	
0.100	86.407	-57.766	
0.133	86.892	-56.795	
0.167	86.407	-55.824	
0.200	86.892	-54.368	
0.233	86.650	-52.912	
0.267	86.650	-50.970	
0.300	86.650	-49.028	
0.333	86.407	-47.572	
0.367	86.407	-47.572	
0.400	86.407	-45.145	
0.433	86.164	-44.417	
0.467	86.164	-44.174	
0.500	86.164	-44.417	
0.533	86.164	-45.145	
0.567	86.164	-46.116	
0.600	85.679	-47.572	
0.633	85.679	-49.028	
0.667	85.679	-50.970	
0.700	85.679	-52.912	
0.733	85.921	-54.368	
0.767	85.921	-55.824	
0.800	85.679	-57.038	
0.833	85.679	-57.766	
0.867	85.679	-58.009	
0.900	85.679	-58.009	
0.933	85.921	-57.523	
0.967	86.164	-56.795	
1.000	86.164	-55.581	
1.033	86.164	-54.125	
1.067	86.164	-52.669	
1.100	86.164	-50.727	
1.133	86.164	-49.271	
1.167	86.407	-47.815	
1.200	86.407	-46.601	
1.233	86.407	-45.630	
1.267	86.650	-44.902	
1.300	86.650	-44.902	
1.333	86.650	-44.902	
1.367	86.650	-45.630	
1.400	86.650	-46.358	
1.433	86.650	-47.815	
1.467	86.407	-49.271	
1.500	86.164	-50.970	
1.533	86.407	-52.669	
1.567	86.407	-54.368	
1.600	86.164	-55.581	
1.633	86.164	-57.038	
1.667	86.164	-57.523	
1.700	85.921	-58.009	
1.733	85.921	-58.009	
1.767	85.921	-57.523	
1.800	85.679	-57.038	
1.833	85.679	-55.824	
1.867	85.679	-54.368	
1.900	85.436	-52.669	
1.933	85.436	-50.970	
1.967	85.436	-49.271	
2.000	85.679	-47.572	
2.033	85.436	-46.358	
2.067	85.679	-45.387	
2.100	85.679	-44.659	
2.133	85.679	-44.417	
2.167	85.679	-44.659	
2.200	85.921	-45.387	
2.233	85.921	-46.358	
2.267	85.921	-47.815	
2.300	86.164	-49.271	
2.333	86.164	-51.213	
2.367	86.164	-52.669	
2.400	86.407	-54.368	
2.433	86.407	-55.581	
2.467	86.407	-57.038	
2.500	86.407	-57.766	
2.533	86.407	-58.251	
2.567	86.407	-58.009	
2.600	86.407	-57.523	
2.633	86.407	-57.038	
2.667	86.164	-55.581	
2.700	86.164	-54.611	
2.733	86.164	-52.912	
2.767	86.164	-51.213	
2.800	85.921	-49.271	
2.833	85.921	-47.815	
2.867	85.921	-46.358	
2.900	85.679	-45.387	
2.933	85.679	-44.417	
2.967	85.679	-44.174	
3.000	85.436	-44.174	
3.033	85.436	-44.659	
3.067	85.436	-45.873	
3.100	85.436	-47.086	
3.133	85.436	-48.785	
3.167	85.679	-50.484	
3.200	85.679	-52.183	
3.233	85.679	-54.125	
3.267	85.679	-55.581	
3.300	85.921	-56.795	
3.333	85.921	-57.523	
3.367	85.921	-58.009	
3.400	86.164	-58.009	
3.433	85.921	-57.766	
3.467	86.164	-57.038	
3.500	86.407	-56.067	
3.533	86.407	-54.611	
3.567	86.407	-53.154	
3.600	86.407	-51.698	
3.633	86.407	-49.756	
3.667	86.407	-48.300	
3.700	86.407	-47.086	
3.733	86.407	-45.873	
3.767	86.407	-45.145	
3.800	86.407	-44.659	
3.833	86.407	-44.659	
3.867	86.407	-45.145	
3.900	86.164	-45.873	
3.933	86.164	-47.086	
3.967	86.164	-48.543	
4.000	85.921	-50.484	
4.033	85.921	-51.941	
4.067	85.921	-53.882	
4.100	85.679	-55.339	
4.133	85.921	-56.552	
4.167	85.921	-57.523	
4.200	85.436	-58.009	
4.233	85.436	-58.009	
4.267	85.679	-57.766	
4.300	85.679	-57.038	
4.333	85.679	-56.067	
