Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	69.588	-43.802	
0.033	68.124	-39.410	
0.066	66.323	-34.568	
0.100	64.408	-30.177	
0.133	62.607	-25.898	
0.166	60.805	-22.407	
0.200	58.778	-19.480	
0.233	56.864	-16.777	
0.266	55.062	-14.750	
0.300	53.373	-12.949	
0.333	51.459	-11.598	
0.366	49.657	-11.034	
0.400	47.856	-10.697	
0.433	46.054	-10.922	
0.466	44.365	-11.598	
0.500	42.676	-12.724	
0.533	40.987	-14.638	
0.566	39.298	-16.665	
0.600	37.609	-19.480	
0.633	35.920	-22.520	
0.666	34.344	-26.348	
0.700	32.767	-30.740	
0.733	31.191	-35.694	
0.766	29.502	-40.424	
0.800	26.574	-45.378	
0.833	26.461	-52.359	
